Coverage	GATK-4.1.0.0	DV-0.10.0	Freebayes	Strelka-2.9.10
15	132144	96167	387095	197615
16	115818	82985	363845	172353
17	103070	72849	342859	150875
18	92945	64987	322222	134306
19	84627	58762	302483	121835
20	77816	53660	284587	108978
21	72334	49760	267732	96655
22	67945	46570	251959	87061
23	64138	43975	237192	79629
24	60877	41829	223653	73845
25	58281	39814	211242	69053
26	56119	38338	200126	65025
27	54084	37033	190217	61850
28	52306	35866	181011	58901
29	50808	34907	172746	56411
30	49494	34060	165393	54152
31	48323	33305	158361	52193
32	47333	32671	152488	50666
33	46446	32043	146551	49191
34	45651	31526	141836	47883
35	44911	31070	137460	46704
36	44291	30685	133433	45495
37	43802	30270	130157	44454
38	43268	29944	126840	43597
39	42837	29670	123756	42811
40	42442	29121	119037	41396
41	42073	29090	118501	41301
42	41755	28846	116182	40670
43	41377	28621	114255	40076
44	41242	28435	112335	39508
45	40924	28256	110590	39112
46	40738	28058	108894	38663
47	40238	27886	107394	38226
48	40322	27681	106210	37736
49	40069	27515	104914	37272
50	39943	27409	109787	37277