"method","panel","variant","nsnp","af","r2"
"beagle","AFAM-DV-GLx","SNP",24132,6.93074e-05,0.37993
"beagle","AFAM-DV-GLx","SNP",54498,0.000158395,0.39314
"beagle","AFAM-DV-GLx","SNP",297548,0.000364654,0.4072
"beagle","AFAM-DV-GLx","SNP",616266,0.00075524,0.439812
"beagle","AFAM-DV-GLx","SNP",1080275,0.00148187,0.500391
"beagle","AFAM-DV-GLx","SNP",2172021,0.00337525,0.591126
"beagle","AFAM-DV-GLx","SNP",2213638,0.00729657,0.658795
"beagle","AFAM-DV-GLx","SNP",2489267,0.0144593,0.706661
"beagle","AFAM-DV-GLx","SNP",3140335,0.0324746,0.769966
"beagle","AFAM-DV-GLx","SNP",2075643,0.0716872,0.822876
"beagle","AFAM-DV-GLx","SNP",1810834,0.143342,0.870591
"beagle","AFAM-DV-GLx","SNP",2039422,0.323141,0.908338
"beagle","AFAM-DV-GLx","SNP",1598454,0.732578,0.920705
"beagle","AFAM-DV-GLx","INDEL",2163,6.88627e-05,0.33668
"beagle","AFAM-DV-GLx","INDEL",4711,0.000157923,0.363248
"beagle","AFAM-DV-GLx","INDEL",25314,0.00036476,0.387168
"beagle","AFAM-DV-GLx","INDEL",52873,0.000754462,0.420516
"beagle","AFAM-DV-GLx","INDEL",94123,0.00148264,0.484999
"beagle","AFAM-DV-GLx","INDEL",191191,0.00337864,0.570775
"beagle","AFAM-DV-GLx","INDEL",198194,0.00730803,0.642129
"beagle","AFAM-DV-GLx","INDEL",227471,0.014462,0.692581
"beagle","AFAM-DV-GLx","INDEL",291223,0.0324837,0.755715
"beagle","AFAM-DV-GLx","INDEL",193644,0.0716686,0.808885
"beagle","AFAM-DV-GLx","INDEL",167855,0.143188,0.856674
"beagle","AFAM-DV-GLx","INDEL",184588,0.321838,0.898029
"beagle","AFAM-DV-GLx","INDEL",133199,0.725508,0.91417
"minimac4","AFAM-DV-GLx","SNP",24132,6.93074e-05,0.379588
"minimac4","AFAM-DV-GLx","SNP",54498,0.000158395,0.379675
"minimac4","AFAM-DV-GLx","SNP",297548,0.000364654,0.385169
"minimac4","AFAM-DV-GLx","SNP",616266,0.00075524,0.412171
"minimac4","AFAM-DV-GLx","SNP",1080275,0.00148187,0.466262
"minimac4","AFAM-DV-GLx","SNP",2172021,0.00337525,0.559297
"minimac4","AFAM-DV-GLx","SNP",2213638,0.00729657,0.631257
"minimac4","AFAM-DV-GLx","SNP",2489267,0.0144593,0.680444
"minimac4","AFAM-DV-GLx","SNP",3140335,0.0324746,0.745956
"minimac4","AFAM-DV-GLx","SNP",2075643,0.0716872,0.801672
"minimac4","AFAM-DV-GLx","SNP",1810834,0.143342,0.853441
"minimac4","AFAM-DV-GLx","SNP",2039422,0.323141,0.893273
"minimac4","AFAM-DV-GLx","SNP",1598454,0.732578,0.903672
"minimac4","AFAM-DV-GLx","INDEL",2163,6.88627e-05,0.336283
"minimac4","AFAM-DV-GLx","INDEL",4711,0.000157923,0.356248
"minimac4","AFAM-DV-GLx","INDEL",25314,0.00036476,0.365808
"minimac4","AFAM-DV-GLx","INDEL",52873,0.000754462,0.393917
"minimac4","AFAM-DV-GLx","INDEL",94123,0.00148264,0.449518
"minimac4","AFAM-DV-GLx","INDEL",191191,0.00337864,0.537545
"minimac4","AFAM-DV-GLx","INDEL",198194,0.00730803,0.6131
"minimac4","AFAM-DV-GLx","INDEL",227471,0.014462,0.666654
"minimac4","AFAM-DV-GLx","INDEL",291223,0.0324837,0.731411
"minimac4","AFAM-DV-GLx","INDEL",193644,0.0716686,0.78768
"minimac4","AFAM-DV-GLx","INDEL",167855,0.143188,0.839137
"minimac4","AFAM-DV-GLx","INDEL",184588,0.321838,0.88267
"minimac4","AFAM-DV-GLx","INDEL",133199,0.725508,0.896422
"minimac4","TOPMed","SNP",581933,5.68349e-05,0.507717
"minimac4","TOPMed","SNP",371253,0.000151196,0.586116
"minimac4","TOPMed","SNP",682222,0.000339685,0.651065
"minimac4","TOPMed","SNP",742113,0.000740678,0.697548
"minimac4","TOPMed","SNP",1073773,0.00147662,0.725935
"minimac4","TOPMed","SNP",2116112,0.00337624,0.754564
"minimac4","TOPMed","SNP",2158939,0.00729668,0.78256
"minimac4","TOPMed","SNP",2431037,0.014459,0.805935
"minimac4","TOPMed","SNP",3081087,0.0324903,0.843522
"minimac4","TOPMed","SNP",2042961,0.0717051,0.876653
"minimac4","TOPMed","SNP",1787141,0.143359,0.908131
"minimac4","TOPMed","SNP",2017686,0.323195,0.932506
"minimac4","TOPMed","SNP",1584505,0.732559,0.936862
"minimac4","TOPMed","INDEL",41536,5.72851e-05,0.511197
"minimac4","TOPMed","INDEL",26816,0.000151078,0.585707
"minimac4","TOPMed","INDEL",49217,0.000339298,0.646655
"minimac4","TOPMed","INDEL",53187,0.00073925,0.689705
"minimac4","TOPMed","INDEL",76681,0.00147485,0.724396
"minimac4","TOPMed","INDEL",148115,0.00337101,0.750292
"minimac4","TOPMed","INDEL",149397,0.00729887,0.781427
"minimac4","TOPMed","INDEL",168161,0.0144643,0.80491
"minimac4","TOPMed","INDEL",214239,0.0324682,0.841998
"minimac4","TOPMed","INDEL",140135,0.0716074,0.873857
"minimac4","TOPMed","INDEL",117009,0.142727,0.904628
"minimac4","TOPMed","INDEL",120464,0.319882,0.929007
"minimac4","TOPMed","INDEL",79494,0.715576,0.929678
"beagle","1KGP","SNP",36602,5.97153e-05,0.247536
"beagle","1KGP","SNP",40803,0.000155509,0.330113
"beagle","1KGP","SNP",159871,0.000360173,0.385083
"beagle","1KGP","SNP",321905,0.000759038,0.418401
"beagle","1KGP","SNP",700436,0.00150748,0.455368
"beagle","1KGP","SNP",1920616,0.00343532,0.513196
"beagle","1KGP","SNP",2171231,0.00730446,0.589876
"beagle","1KGP","SNP",2458872,0.0144587,0.654242
"beagle","1KGP","SNP",3109715,0.0324868,0.731453
"beagle","1KGP","SNP",2059609,0.0716989,0.793713
"beagle","1KGP","SNP",1800301,0.14335,0.849533
"beagle","1KGP","SNP",2031255,0.323197,0.893386
"beagle","1KGP","SNP",1587565,0.732009,0.907691
"beagle","1KGP","INDEL",1337,6.06228e-05,0.0680451
"beagle","1KGP","INDEL",1526,0.000154351,0.162776
"beagle","1KGP","INDEL",6612,0.000362513,0.211104
"beagle","1KGP","INDEL",14996,0.000763731,0.283265
"beagle","1KGP","INDEL",36480,0.00151737,0.364526
"beagle","1KGP","INDEL",118662,0.00348704,0.46495
"beagle","1KGP","INDEL",154170,0.00734182,0.548673
"beagle","1KGP","INDEL",184703,0.0144886,0.627598
"beagle","1KGP","INDEL",243254,0.0325634,0.714629
"beagle","1KGP","INDEL",166368,0.0717927,0.776804
"beagle","1KGP","INDEL",146626,0.143316,0.831551
"beagle","1KGP","INDEL",162839,0.322022,0.87122
"beagle","1KGP","INDEL",119076,0.726021,0.876975
"minimac4","1KGP","SNP",36602,5.97153e-05,0.244837
"minimac4","1KGP","SNP",40803,0.000155509,0.324703
"minimac4","1KGP","SNP",159871,0.000360173,0.377404
"minimac4","1KGP","SNP",321905,0.000759038,0.408851
"minimac4","1KGP","SNP",700436,0.00150748,0.441096
"minimac4","1KGP","SNP",1920616,0.00343532,0.497237
"minimac4","1KGP","SNP",2171231,0.00730446,0.574044
"minimac4","1KGP","SNP",2458872,0.0144587,0.637725
"minimac4","1KGP","SNP",3109715,0.0324868,0.714661
"minimac4","1KGP","SNP",2059609,0.0716989,0.777533
"minimac4","1KGP","SNP",1800301,0.14335,0.835647
"minimac4","1KGP","SNP",2031255,0.323197,0.880719
"minimac4","1KGP","SNP",1587565,0.732009,0.893284
"minimac4","1KGP","INDEL",1337,6.06228e-05,0.0652352
"minimac4","1KGP","INDEL",1526,0.000154351,0.151653
"minimac4","1KGP","INDEL",6612,0.000362513,0.203005
"minimac4","1KGP","INDEL",14996,0.000763731,0.276336
"minimac4","1KGP","INDEL",36480,0.00151737,0.352762
"minimac4","1KGP","INDEL",118662,0.00348704,0.447045
"minimac4","1KGP","INDEL",154170,0.00734182,0.533034
"minimac4","1KGP","INDEL",184703,0.0144886,0.611207
"minimac4","1KGP","INDEL",243254,0.0325634,0.698209
"minimac4","1KGP","INDEL",166368,0.0717927,0.76079
"minimac4","1KGP","INDEL",146626,0.143316,0.817491
"minimac4","1KGP","INDEL",162839,0.322022,0.858395
"minimac4","1KGP","INDEL",119076,0.726021,0.861979
"beagle","HRC","SNP",66726,6.1229e-05,0.336719
"beagle","HRC","SNP",66948,0.000153251,0.414931
"beagle","HRC","SNP",160120,0.000345343,0.506986
"beagle","HRC","SNP",209348,0.000745265,0.556399
"beagle","HRC","SNP",364363,0.00150006,0.550016
"beagle","HRC","SNP",1228546,0.00355277,0.488343
"beagle","HRC","SNP",1948880,0.00737244,0.510193
"beagle","HRC","SNP",2358014,0.0144655,0.584411
"beagle","HRC","SNP",3026611,0.0325118,0.678808
"beagle","HRC","SNP",2005402,0.0716724,0.753621
"beagle","HRC","SNP",1734194,0.143232,0.819582
"beagle","HRC","SNP",1928464,0.322855,0.872101
"beagle","HRC","SNP",1472024,0.727832,0.8885
"minimac4","HRC","SNP",66726,6.1229e-05,0.34175
"minimac4","HRC","SNP",66948,0.000153251,0.418147
"minimac4","HRC","SNP",160120,0.000345343,0.50988
"minimac4","HRC","SNP",209348,0.000745265,0.562772
"minimac4","HRC","SNP",364363,0.00150006,0.553847
"minimac4","HRC","SNP",1228546,0.00355277,0.487367
"minimac4","HRC","SNP",1948880,0.00737244,0.505066
"minimac4","HRC","SNP",2358014,0.0144655,0.576919
"minimac4","HRC","SNP",3026611,0.0325118,0.667915
"minimac4","HRC","SNP",2005402,0.0716724,0.74144
"minimac4","HRC","SNP",1734194,0.143232,0.807077
"minimac4","HRC","SNP",1928464,0.322855,0.859813
"minimac4","HRC","SNP",1472024,0.727832,0.874504
"minimac4","CAAPA","SNP",6789,6.5962e-05,0.123205
"minimac4","CAAPA","SNP",13003,0.000157203,0.174197
"minimac4","CAAPA","SNP",82801,0.000372575,0.192542
"minimac4","CAAPA","SNP",256762,0.000774189,0.208766
"minimac4","CAAPA","SNP",717427,0.00151832,0.242477
"minimac4","CAAPA","SNP",1982662,0.00341544,0.331737
"minimac4","CAAPA","SNP",2135932,0.00729857,0.425949
"minimac4","CAAPA","SNP",2405343,0.0144545,0.495926
"minimac4","CAAPA","SNP",3040553,0.0324827,0.592586
"minimac4","CAAPA","SNP",2013166,0.0717043,0.673939
"minimac4","CAAPA","SNP",1759072,0.143343,0.751599
"minimac4","CAAPA","SNP",1984730,0.323202,0.809199
"minimac4","CAAPA","SNP",1555107,0.732363,0.824992
